grade,N,Mean,SD,error_type,test_id,CRAW
6,75,0.24,0.49,Attention,pw,2
7,59,0.27,0.55,Attention,pw,2
6,75,0.16,0.37,Attention_C,pw,1
7,59,0.15,0.36,Attention_C,pw,1
6,76,0.07,0.25,Attention_V,pw,1
7,60,0.10,0.30,Attention_V,pw,1
6,75,2.15,2.60,LetterPosition,pw,7
7,60,1.98,2.57,LetterPosition,pw,7
6,75,1.48,1.86,LetterPosition_C,pw,5
7,60,1.30,1.65,LetterPosition_C,pw,6
6,75,0.68,1.22,LetterPosition_V,pw,3
7,58,0.48,0.90,LetterPosition_V,pw,3
6,74,0.58,0.95,LetterDoubling,pw,3
7,60,0.55,0.93,LetterDoubling,pw,3
6,75,1.52,1.89,Vowel,pw,5
7,58,1.21,1.48,Vowel,pw,4
6,76,3.43,3.53,Visual,pw,10
7,60,2.83,3.10,Visual,pw,9
6,76,1.08,1.19,Surface,pw,4
7,59,0.76,0.84,Surface,pw,3
6,76,1.08,1.19,Deep,pw,4
7,59,0.76,0.84,Deep,pw,3
6,74,0.16,0.37,"Neglect","pw",1
7,61,0.16,0.37,"Neglect","pw",1
