grade,N,Mean,SD,error_type,test_id,CRAW
6,76,2.41,1.95,Attention,wp,6
7,60,1.78,1.62,Attention,wp,5
6,76,0.87,0.97,Attention_C,wp,3
7,59,0.68,0.88,Attention_C,wp,3
6,76,1.34,1.17,Attention_V,wp,4
7,60,1.02,1.02,Attention_V,wp,3
6,76,0.12,0.33,LetterPosition,wp,1
7,58,0.00,0.00,LetterPosition,wp,1
6,76,0.12,0.33,LetterPosition_C,wp,1
7,58,0.00,0.00,LetterPosition_C,wp,1
6,76,0.07,0.25,LetterPosition_V,wp,1
7,58,0.00,0.00,LetterPosition_V,wp,1
6,77,0.10,0.31,LetterDoubling,wp,1
7,60,0.07,0.25,LetterDoubling,wp,1
6,77,1.94,1.76,Vowel,wp,5
7,60,1.23,1.17,Vowel,wp,4
6,74,1.22,1.40,Visual,wp,4
7,60,0.78,1.09,Visual,wp,3
6,75,0.76,1.21,Surface,wp,3
7,59,0.53,0.92,Surface,wp,3
6,76,0.53,0.66,Deep,wp,2
7,60,0.35,0.55,Deep,wp,2
6,77,0.40,0.67,"Neglect","wp",2
7,61,0.31,0.62,"Neglect","wp",2
