"grade","N","Mean","SD","FLSD","error_type","test_id"
"6",72,2.33333333333333,1.89885065311017,0.611744623196944,"Attention","wp"
"7",60,1.78333333333333,1.61656327935475,0.611744623196944,"Attention","wp"
"6",72,0.833333333333333,0.949425326555083,0.317627198150272,"Attention_C","wp"
"7",59,0.677966101694915,0.879668392969597,0.317627198150272,"Attention_C","wp"
"6",72,1.31944444444444,1.16069902309868,0.378030727399093,"Attention_V","wp"
"7",60,1.01666666666667,1.01666898212203,0.378030727399093,"Attention_V","wp"
"6",72,0.111111111111111,0.316475108851694,0.0818079712330126,"LetterPosition","wp"
"7",58,0,0,0.0818079712330126,"LetterPosition","wp"
"6",72,0.111111111111111,0.316475108851694,0.0818079712330126,"LetterPosition_C","wp"
"7",58,0,0,0.0818079712330126,"LetterPosition_C","wp"
"6",72,0.0555555555555556,0.23066889195377,0.0596272931093231,"LetterPosition_V","wp"
"7",58,0,0,0.0596272931093231,"LetterPosition_V","wp"
"6",73,0.10958904109589,0.314538631950585,0.098763057045549,"LetterDoubling","wp"
"7",60,0.0666666666666667,0.251548874293232,0.098763057045549,"LetterDoubling","wp"
"6",73,1.87671232876712,1.73161136805716,0.516238205047132,"VowelErrors","wp"
"7",60,1.23333333333333,1.16976988417419,0.516238205047132,"VowelErrors","wp"
"6",73,0.356164383561644,0.631793369300144,0.214138333814598,"Neglect","wp"
"7",61,0.311475409836066,0.620241447786193,0.214138333814598,"Neglect","wp"
"6",70,1.15714285714286,1.34741528502187,0.428894046923883,"Visual","wp"
"7",60,0.783333333333333,1.09066402828684,0.428894046923883,"Visual","wp"
"6",72,0.791666666666667,1.22114584841394,0.378466302592837,"Surface","wp"
"7",59,0.525423728813559,0.91643861286579,0.378466302592837,"Surface","wp"
"6",72,0.513888888888889,0.649876598374061,0.208472754983331,"Deep","wp"
"7",60,0.35,0.546948390959221,0.208472754983331,"Deep","wp"
