"grade","N","Mean","SD","FLSD","error_type","test_id"
"6",71,0.183098591549296,0.42459591394742,0.168814636719054,"Attention","pw"
"7",59,0.271186440677966,0.551815451239604,0.168814636719054,"Attention","pw"
"6",71,0.126760563380282,0.335072591912718,0.120725872816493,"Attention_C","pw"
"7",59,0.152542372881356,0.362632107772293,0.120725872816493,"Attention_C","pw"
"6",69,0,0,0.07185158436093,"Attention_V","pw"
"7",60,0.1,0.302531690453766,0.07185158436093,"Attention_V","pw"
"6",71,1.8169014084507,2.28854201344081,0.814968543711052,"LetterPosition","pw"
"7",60,1.88333333333333,2.43624931697544,0.814968543711052,"LetterPosition","pw"
"6",71,1.25352112676056,1.64506456546462,0.56357127885092,"LetterPosition_C","pw"
"7",61,1.29508196721311,1.62628679610006,0.56357127885092,"LetterPosition_C","pw"
"6",70,0.514285714285714,0.988966040988134,0.332714283436047,"LetterPosition_V","pw"
"7",58,0.482758620689655,0.90304318465145,0.332714283436047,"LetterPosition_V","pw"
"6",70,0.5,0.896854406292881,0.316370249868597,"LetterDoubling","pw"
"7",60,0.55,0.928366526098211,0.316370249868597,"LetterDoubling","pw"
"6",72,1.43055555555556,1.87516300804204,0.594211363873433,"VowelErrors","pw"
"7",58,1.20689655172414,1.48393290491979,0.594211363873433,"VowelErrors","pw"
"6",70,0.142857142857143,0.352453688425121,0.125255306621293,"Neglect","pw"
"7",61,0.163934426229508,0.3732884438274,0.125255306621293,"Neglect","pw"
"6",72,3.02777777777778,3.17104959840674,1.05574611745274,"Visual","pw"
"7",60,2.73333333333333,2.93353877041264,1.05574611745274,"Visual","pw"
"6",72,1,1.13832097753108,0.350622939161129,"Surface","pw"
"7",59,0.76271186440678,0.837462980156539,0.350622939161129,"Surface","pw"
"6",72,1,1.13832097753108,0.350622939161129,"Deep","pw"
"7",59,0.76271186440678,0.837462980156539,0.350622939161129,"Deep","pw"
